,baseFare
15819,171.16
70394,240.93
22443,180.47
173150,124.65
215351,310.7
213051,115.35
147558,124.65
40628,152.55
187408,124.65
156780,92.09
51551,271.63
268245,264.19
188705,217.67
38226,217.67
49503,115.35
266228,217.67
11225,171.16
196551,310.7
197877,115.35
224468,171.16
259041,310.7
108766,310.7
211150,115.35
281463,366.51
106889,310.7
171074,87.44
111928,217.67
182912,161.86
146822,171.16
153591,129.3
12610,171.16
191726,171.16
175155,143.26
144798,217.67
69835,180.47
11223,101.39
37886,171.16
9357,245.58
225589,217.67
281738,366.51
168718,171.16
3846,203.72
199643,171.16
197616,124.65
108095,310.7
160295,199.07
135957,171.16
278365,310.7
172304,171.16
151250,124.65
202517,171.16
226601,310.7
175724,217.67
249000,347.91
154985,92.09
251937,104.19
98813,124.65
274040,264.19
212963,199.07
178851,310.7
49636,431.63
182160,310.7
61660,143.25
110183,217.67
17032,143.26
172439,124.65
258312,199.07
259742,171.16
217172,217.67
164915,217.67
89849,213.03
10051,366.51
241999,236.28
227114,217.67
219561,199.07
120232,199.07
234262,310.7
163002,310.7
63532,226.97
31786,271.63
58587,180.47
138788,124.65
148010,124.65
57023,226.98
174342,143.26
227303,171.16
235303,143.26
161079,310.7
160642,92.09
194516,310.7
181230,87.44
146310,310.7
12708,217.67
232546,199.07
123746,152.56
118593,217.67
148464,217.67
31050,236.28
271466,310.7
161835,124.65
58806,271.63
79633,273.49
240021,124.65
118460,124.65
284381,217.67
40309,292.09
164552,217.67
59746,180.47
119260,217.67
114789,217.67
92907,217.67
8914,185.12
104685,189.77
20901,254.89
157518,217.67
108074,199.07
206943,199.07
36009,161.86
225205,115.35
62977,403.72
144267,124.65
111269,199.07
28850,208.38
13780,262.33
288247,375.81
170324,199.07
99966,180.47
90946,273.49
122441,87.44
221793,124.65
15565,82.79
28067,87.44
159689,143.26
240230,124.65
3891,171.16
118825,152.56
285723,459.53
178054,180.47
41742,271.63
157174,92.09
253412,217.67
183837,310.7
91307,152.56
277458,124.65
101970,217.68
28103,115.35
135262,124.65
139562,217.67
15386,357.21
1274,217.67
238064,199.07
72539,180.47
203088,199.07
227617,115.35
264461,264.19
38789,152.55
167145,171.16
38533,166.51
18900,180.47
85994,208.37
231448,143.26
16729,271.63
34623,82.79
171456,180.47
149258,87.44
92930,152.56
203482,133.95
199044,124.65
165183,171.16
39443,208.37
217284,171.16
132413,124.65
222527,217.67
173193,124.65
68163,180.47
211096,115.35
168520,245.58
2691,106.05
87028,152.56
22870,166.51
245445,292.09
91161,273.49
179980,124.65
22907,203.73
188619,310.7
244489,217.67
65187,124.65
87428,226.98
168683,245.58
71730,213.03
243661,292.09
12340,78.14
219126,171.16
165931,124.65
209200,115.35
131470,222.33
71572,180.47
79576,226.98
87399,180.47
143401,171.16
203470,124.65
193604,124.65
259570,171.16
88617,152.56
283097,199.07
49041,226.98
28214,115.35
34784,166.51
3279,217.67
184011,217.67
222057,171.16
87996,189.77
38720,106.05
153342,124.65
38353,82.79
86380,217.67
76960,180.47
15097,143.26
28066,87.44
249305,310.7
50999,226.98
162627,143.26
21795,385.12
1682,171.16
250659,236.28
169344,124.65
96423,171.16
233655,310.7
63404,264.19
66325,180.47
211209,124.65
100434,152.56
84744,278.14
155,262.33
74319,217.67
89236,375.81
64990,124.65
135704,264.19
124404,124.65
25513,271.63
241536,143.26
204516,115.35
182923,124.65
93366,180.47
212524,124.65
56,338.6
24685,82.79
80011,347.91
40717,394.42
13323,245.58
185016,217.67
166952,375.81
82793,222.33
41352,245.58
89607,273.49
251093,347.91
1782,152.56
216039,124.65
33773,217.67
231466,171.16
193715,124.65
133026,87.44
150144,310.7
105106,217.67
186000,161.86
194680,310.7
103985,124.65
5037,282.79
123584,199.07
190765,124.65
38139,87.44
24576,292.09
165641,92.09
126948,217.67
237535,310.7
214012,171.16
283663,143.26
54366,271.63
77405,208.38
93971,152.56
110147,217.67
225301,310.7
254413,236.28
131466,175.82
108611,171.16
273807,124.65
202820,124.65
125979,124.65
288462,310.7
213210,115.35
263153,217.67
19015,152.55
61912,240.93
230617,217.67
65302,324.65
184351,171.16
65422,226.97
105558,217.68
212908,115.35
84514,213.03
30485,82.79
257465,310.7
102885,199.07
146132,87.44
250364,236.28
168020,329.3
95720,217.67
93839,124.65
171075,87.44
259711,171.16
277207,217.67
268384,310.7
